Desde,Hasta,Factor,Descuento
0.00,814185.00,0.00,0.00
814185.01,1809300.00,0.04,32567.40
1809300.01,3015500.00,0.08,104939.40
3015500.01,4221700.00,0.135,270791.90
4221700.01,5427900.00,0.23,671853.40
5427900.01,7237200.00,0.304,1073518.00
7237200.01,18696100.00,0.35,1406429.20
18696100.01,INF,0.4,2341234.20
