Desde,Hasta,Factor,Descuento
,804532.5,,
804532.5096,1748517.3,0.04,32181.3
1748517.309,2845065.3,0.08,103695.3
2845065.309,3876058.8,0.135,267581.55
3876058.808,4793821.8,0.23,663888.3
4793821.807,6038165.4,0.304,1060791
6038165.407,13398147.9,0.35,1389755.4
13398147.91,INF,0.4,2313477.9
